@@Use Of Force@@ On September 6, 2012, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on September 6, 2012 in the 4th District involving two on- duty Chicago Police Department (CPD) Officers (Complainant Officer A and Complainant Officer B). It was alleged that Complainant Officer A engaged in an unjustified verbal altercation with Complainant Officer B; physically maltreated Complainant Officer B in that he punched him; and engaged in conduct which brought disrespect upon the Department. It was alleged that Complainant Officer B engaged in an unjustified verbal altercation with Complainant Officer A; physically maltreated Complainant Officer A in that he punched him; and engaged in conduct which brought disrespect upon the Department. Based upon a mediation, Complainant Officer A agreed to accept IPRAs finding of SUSTAINED for all allegations and a one (1) day suspension. Based upon a mediation, Complainant Officer B agreed to accept IPRAs finding of SUSTAINED for all allegations and a one (1) day suspension.	Short Term Suspension
@@Operation/Personnel Violations@@ On May 1, 2008, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident occurring in the 9th District, on May 1, 2008, involving four on-duty Chicago Police Department officers (Officers A, B, C, and D). It was alleged that Officers A and B, in a vacant graveled lot, engaged in conduct unbecoming in that they suggested that the complainant do push-ups; physically maltreated the complainant in that they grabbed the complainant by his belt while he was doing push-ups and pushed him back down, causing him injury; failed to document their encounter in that they failed to complete a Contact Information Card regarding their contact with the complainant and his brother; engaged in improper verbal abuse against the complainant; failed to take appropriate action in that they did not assist the complainant with obtaining medical attention for the injury he sustained; witnessed misconduct and failed to report it; searched the interior of a vehicle without justification; and brought discredit upon the Department. It was also alleged that Officers C and D witnessed misconduct and failed to report it. The complainant also filed a lawsuit alleging that the officers told the complainant he had to do 50 push-ups or they would arrest him; ordered the complainant to shout out the count; dropped the complainants body and face into the pavement as the other officers stood by and allowed these acts to occur without intervening. Based on statements from the accused officers, reports, video recordings, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegations that Officer A engaged in conduct unbecoming in that he suggested that the complainant do push-ups; grabbed the complainant by his belt while he was doing push-ups and pushed him back down, causing him injury; and engaged in improper verbal action against the complainant. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer A failed to complete a Contact Information Card regarding his contact with the complainant and his brother. Further, IPRA recommended a finding of EXONERATED for the allegation that Officer A did not assist the complainant with obtaining medical attention for the injury that he sustained. Further, IPRA recommended to SUSTAIN the allegations that Officer A witnessed misconduct and failed to report it; searched the interior of a vehicle without justification; and brought discredit upon the Department. Based on statements from the accused officers, reports, video recordings, and witnesses, IPRA recommended to SUSTAIN the allegations that Officer B engaged in conduct unbecoming in that he suggested that the complainant do push-ups in order to avoid arrest; grabbed the complainant by the belt while he was doing push-ups and pushed him back down, causing injury; and brought discredit upon the Department. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer B failed to properly document the encounter in that he failed to complete a Contact Information Card regarding his contact with the complainant and his brother; and engaged in improper verbal action against the complainant. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officer B witnessed misconduct and failed to report it; and searched the interior of a vehicle without justification. Based on statements from the accused officers, reports, video recording, and witnesses, IPRA recommended to SUSTAIN the allegation that Officers C and D witnessed misconduct and failed to report it. IPRA recommended that Officer A receive a suspension of fifteen (15) days, Officer B receive a suspension of thirty (30) days, Officer C receive a suspension of seven (7) days, and Officer D receive a suspension of seven (7) days.	Short Term Suspension
@@Use Of Force@@ On December 15, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding an incident that occurred on December 15, 2006 in the 12th District involving a Chicago Police Department (CPD) Sergeant (Sergeant A) and six off-duty Officers (Officer B through F). It was alleged that Sergeant A and Officer C physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; prevented Victims A through D from obtaining police assistance; failed to complete a Tactical Response Report regarding the incident; and engaged in conduct which brought discredit upon the Department. It was alleged that Officer B physically maltreated Victims A through D; engaged in an improper verbal altercation; was in possession of a firearm while consuming alcohol in violation of a General Order; failed to maintain control of his weapon; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. It was also alleged that Officer D and F physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit on the Department. It was also alleged that Officer E engaged in an improper verbal and/or physical altercation; was in possession of a firearm that was not registered to him in violation of a General Order; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; unnecessarily displayed a weapon; failed to complete a Tactical Response Report regarding this incident; and engaged in conduct which brought discredit on the Department. It was alleged that Officer G failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. IPRAs investigation consisted of statements from the accused members, complainants and witnesses, video recordings, photographs, medical records, 911 calls, and departmental records. IPRA recommended a finding of EXONERATED for the allegation that both Sergeant G and Officer C failed to complete a Tactical Response Report regarding the incident. Further, IPRA recommended to SUSTAIN the allegation that both Sergeant G and Officer C engaged in an improper verbal and/or physical altercation; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; prevented Victims A through D from obtaining police assistance; and engaged in conduct which brought discredit upon the Department. IPRA also recommended to SUSTAIN the allegation that Sergeant G physically maltreated Victims A through C. IPRA recommended to SUSTAIN the allegation that Officer C physically maltreated Victim D. IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer B physically maltreated Victims A through D. IPRA recommended to SUSTAIN the allegations that Officer B engaged in an improper verbal altercation; was in possession of a firearm while consuming alcohol in violation of a General Order; failed to maintain control of his weapon; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit upon the Department. IPRA recommended a finding of CLOSED-HOLD for all allegations against Officer D because he resigned and did not address the allegations against him. IPRA recommended a finding of UNFOUNDED for the allegation that Officer E unnecessarily displayed a weapon. IPRA recommended a finding of EXONERATED for the allegation that Officer E failed to complete a Tactical Response Report regarding this incident. IPRA recommended a finding of SUSTAINED for the allegations that Officer E engaged in an improper verbal and/or physical altercation; was in possession of a firearm that was not registered to him in violation of a General Order; failed to report information concerning a crime or other unlawful actions; failed to report a fellow members misconduct; and engaged in conduct which brought discredit on the Department. IPRA recommended a finding of UNFOUNDED for the allegations that Officer F physically maltreated Victims A through D; engaged in an improper verbal and/or physical altercation; and engaged in conduct which brought discredit on the Department. IPRA recommended a finding of SUSTAINED for the allegations that Officer F failed to report information concerning a crime or other unlawful actions; and failed to report a fellow members misconduct. IPRA recommended a finding of UNFOUNDED for the allegation that Officer G engaged in conduct which brought discredit upon the department. IPRA recommended a finding of SUSTAINED for allegations that Officer G failed to report information concerning a crime or other unlawful actions and failed to report a fellow members misconduct. IPRA recommended a forty-five (45) day suspension for Sergeant A, thirty (30) day suspension for Officer B, twenty-five (25) day suspension for Officer C, thirty (30) day suspension for Officer E, fifteen (15) day suspension for Officer F, and a five (5) days suspension for Officer G.	Long Term Suspension
@@Use Of Force@@ January 27, 2017 2:04 AM N. California January 27, 2017 2: 16 AM On January 27, 2017, the complainants, Subject 1 and Subject 2, were arrested by Chicago Police Department (CPD) officers responding to a battery in progress and a report of 30?40 individuals fighting at N. California after an individual named Civilian 1 kalled 911 to report she had been battered. Subject 1 and Subject 2 accused the arresting officers of using excessive force, tasing both men without justification, and being too aggressive. After reviewing relevant Body Worn Camera (BWC) footage, COPA also brought allegations related to unnecessary verbal altercations by officers on scene. Interviews were completed with Subject 1, witness officers, and accused of?cers. ?ndings are discussed in this report.	Short Term Suspension
@@Operation/Personnel Violations@@ Itis alleged by complainant Sergeant C. MOORE-POWELL #2583 (court sergeant Br.23-50) that on 12 March 2014, between 1150-1250 hours, while on the telephone a ___ Chicagg,linois, the accused James KASKA #7957 was insubordinate towards the complainant in that Officer LASKA presented a rude and disrespectful vocal attitude while being informed of inadequate information to complete a court absense notification	No Action Taken
@@Use Of Force@@ On March 12, 2012, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on March 11, 2012, involving an on-duty Chicago Police Department (CPD) Officer. It was alleged that the officer pushed the Victim and pulled her hair. Based upon a mediation, the accused officer agreed to accept IPRAs finding of SUSTAINED and a suspension of twenty (20) days.	Short Term Suspension
@@Use Of Force@@ In an incident involving forty-four on-duty CPD members (Officers A- Z and A1 R1), a Lieutenant, a Sergeant, three Detectives (Detective 1, 2, and 3) and Victim, it was alleged that Officers A, B, C, D, L, U, V, W, X and the Lieutenant violated the Chicago Police Departments pursuit policy. It is also alleged that Officer E, F, G, H, I, J, K, M, N, O, P, Q, R, S, Y, Z, A1, B1,C1, D1, E1, F1, G1, H1, I1, J1, K1, L1, M1, N1, 01, P1, Q1, R1, the Sergeant, Detective 1, Detective 2, and Detective 3 violated the Chicago Police Departments pursuit policy, left their duty assignments without authorization, and failed to notify the OEMC that they were responding as assist units. Finally, it is alleged that Officer T violated the Chicago Police Departments pursuit policy, left his duty assignments without authorization, failed to notify the OEMC that he was responding as an assist unit, violated Chicago Police Departments use of deadly force policy by shooting the Victim without justification, and violated a Chicago Police Department General Order by failing to remain on the scene to report to the watch commander after discharging his weapon.	Short Term Suspension
@@Domestic@@ On April 16th, 2008, a complaint was registered with the Independent Police Review Authority (IPRA) regarding domestic incidents between a Chicago Police Department (CPD) Sergeant (Sergeant A) and Officers (Complainant Officer B and Officers C, D and E) that occurred on multiple dates in the 11th and 22nd Districts. It was alleged that Sergeant A engaged in conduct which brought discredit on the Department on unknown dates and times. It was also alleged that Sergeant A threatened to provide the Department with false information on Complainant Officer B on numerous occasions between 2006 and 2008. It was alleged that Sergeant A gained access to Complainant Officer Bs Deferred Compensation Account without her permission on an unknown date in 2007. It was also alleged that Sergeant A sent text messages to or phoned Officers C, D and E to obtain information on Complainant Officer B on several occasions in 2008. It was alleged that Sergeant A harassed Complainant Officer B by keeping her under surveillance and used CPD resources to do so between January through June of 2008. It was also alleged that Sergeant A maltreated Complainant Officer B at her residence on January 9th, 2008. It was alleged that Sergeant A maltreated Complainant Officer B at her residence on February 24th, 2008. It was also alleged that Sergeant A repeatedly harassed Complainant Officer B at her residence on April 16, 2008. It was alleged that Sergeant A harassed Complainant Officer B on June 8th, 2008. It was also alleged that Sergeant A engaged in conduct which brought discredit on the Department in the 11th District Station between June 11th and 13th, 2008. It was alleged that Sergeant A telephoned IPRA and made a false report on June 29th, 2008. Based upon a mediation, Sergeant A agreed to accept IPRAs finding of SUSTAINED for the allegations that he repeatedly harassed Complainant Officer B at her residence on April 16th, 2008; harassed Complainant Officer B by keeping her under surveillance and used CPD resources to do so between January through June of 2008; and sent text messages to or phoned Officers C, D and E to obtain information on Complainant Officer B on several occasions in 2008. Sergeant A agreed though mediation to accept a suspension of one (1) day.	Short Term Suspension
@@Use Of Force@@ The reporting party alleges that several male white and Hispanic uniformed and plainclothes questioned and detained him ictims and without justification. The reporting party alleges that the officers were rude and unprofessional and stated, "Step out the fucking car, shut the fuck up!" The reporting party alleges that unknown officers pulled the victim, out of the vehicle, grabbed him by his hair and neck and struck his head several times on the hood of his personal vehicle when they inquired as to why the officers were questioning and being rude towards them for no apparent reason.	No Action Taken
@@Lockup Procedures@@ The reporting party alleges that the accused failed to inventory or return $300.000 U.S.C TFC bank card, two ($100) gift cards, three miscellaneous credit cards, a lllinois Link card and Boost cell phone.	Violation Noted
@@Domestic@@ On 30 March 2008, a complaint was registered with the Independent Police Review Authority, regarding an incident occurring in the 19th District in which an off-duty Chicago Police Department probationary police officer allegedly engaged in an unjustified physical altercation with the victim. It was further alleged that the accused member was intoxicated and had unregistered firearms in his home. Based on corroborating statements from the victim and the accused member, photographs of the victims injuries, and OEMC transmissions recording the alleged altercation, IPRA recommended to SUSTAIN the allegation that the accused member engaged in an unjustified physical altercation with the victim. Because the accused member failed a field sobriety test and the results of a breathalyzer revealed that his blood alcohol content was above the legal limit, IPRA recommended to SUSTAIN the allegation that the accused member was intoxicated. Lastly, based on test results of further physical evidence gathered at the scene, IPRA recommended to SUSTAIN the allegation that the accused member had unregistered weapons in his home. Prior to IPRA completing its investigation, CPD separated the probationary officer from employment with CPD. At the conclusion of its investigation, IPRA noted the outcome of SEPARATION for the accused member.	Separation
@@Operation/Personnel Violations@@ THE REPORTING PARTY STATES THAT HE WAS INVOLVED IN A PHYSICAL DOMESTIC DISPUTE WITH HIS, GIRLFRIEND/NEIGHBOR AND HE CALLED THE POLICE. HE ALLEGES THAT THE ACCUSED OFFICERS FAILED TO ARREST THE OFFENDER. HE ALSO ALLEGES THAT WHEN HE WENT TORRE TO OBTAIN AN ORDER OF PROTECTION HE WAS TOLD THAT THERE WAS NO RECORD OF THE INCIDENT. RI	No Action Taken
@@Domestic@@ On 3 July 2007, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 20th District, in which an off-duty Chicago Police Department officer allegedly attempted to exploit her Department position for personal gain, and physically mistreated and verbally abused a private citizen. Based on videotape footage and corroborating witness statements, IPRA recommended to SUSTAIN the allegations against the accused that she attempted to exploit her Department position for personal gain, pushed the individual, used profanity, and that accused engaged in conduct discrediting the Chicago Police Department. IPRA recommended separation from the Department.	Long Term Suspension
@@Use Of Force@@ On 17 November 2006, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a The Office of Professional Standards) regarding an incident that occurred in the 10th District, in which a Chicago Police Department officer allegedly was inattentive to duty when she accidentally discharged her firearm while in vehicular pursuit of offenders driving a stolen vehicle. There were no injuries reported as a result of the accidental discharge. Based on the officers admission and physical evidence, IPRA recommended to SUSTAIN the allegation. IPRA recommended a reprimand for the accused member.	Reprimand
@@Operation/Personnel Violations@@ In an incident involving two on-duty CPD Officers (Officer A and B) and the Complainant, Officer A was alleged to have violated the Departments Deadly Force Policy by shooting the Complainant without justification. Officer B was alleged to have violated the Departments procedures on crime scene protection and processing by moving and handling two guns without rubber gloves prior to evidence/forensic technicians arrival on the scene.	Reprimand
@@Operation/Personnel Violations@@ On February 9th, 2011, a complaint was registered with the Independent Police Review Authority (IPRA) regarding a domestic incident involving two off-duty Chicago Police Officers (Officers A and B) that occurred on multiple dates in Des Plaines, Illinois. It was alleged that Officer A verbally abused Victim A from January 2009 through February 2010. It was further alleged that Officer A ran Victim As license plate for unauthorized purposes from September 2009 through May 2009. It was alleged that Officer A ran Victim As fathers license plate for unauthorized purposes from April 2009 through October 2009. It was further alleged that Officer A used Department equipment to make inquiries on Victim As license plate for unauthorized purposes on June 3rd, 2009, August 17th, 2009, May 28th, 2009, and June 23rd, 2009. It was further alleged that Officer A verbally abused Victim A and threw Victim Bs sippy cup on the street; and filed a false Battery Report against Victim A on November 29th, 2011. It was alleged that Officer B used Department equipment to make inquiries on Victim As license plate for unauthorized purposes on May 28th, 2009, and June 23rd, 2009. Based on statements from the accused Officers and Victim A, Department reports, OEMC transmission, Medical and Court records, IPRA recommended to NOT SUSTAIN the allegations that the Officer A verbally abused Victim A from January 2009 through February 2010; ran Victim As license plate for unauthorized purposes from September 2009 through May 2009; ran Victim As fathers license plate for unauthorized purposes from April 2009 through October 2009; and verbally abused Victim A and threw Victim Bs sippy cup on the street and filed a false Battery Report against Victim A on November 29th, 2011. IPRA recommended to UNFOUND the allegations that Officer B used Department equipment to make inquiries on Victim As license plate for unauthorized purposes on May 28th, 2009, and June 23rd, 2009. During mediation, Officer A agreed to accept IPRAs finding of SUSTAINED for the allegations that he used Department equipment to make inquiries on Victim As license plate for unauthorized purposes on June 3rd, 2009; August 17th, 2009; May 28th, 2009; and June 23rd, 2009 and a three (3) day suspension.	No Action Taken
@@Illegal Search@@ ‘The reporting party stated that the accused responded to a "911" callin regards to an unknown female/subject selling drugs out of a car. It is reported that the accused officers pulled up next to her and ordered her to exit the vehicle without justification. It is further alleged that the accused officers were rude and unprofessional, in that they screamed and yelled at her. One of the officers made an unwarranted comment something to the effect, "You are talking like you're white.”	No Action Taken
@@Operation/Personnel Violations@@ The complainant alleged that the accused officer intentionally drove away with his keys to inconvenience him. The complainant also alleged that the accused stated to the victim, "Get out the car before | drag your ass out.”	No Action Taken
@@Conduct Unbecoming (Off-Duty)@@ It is reported that the accused officer was driving with a suspended license and expired vehicle plates and failed to provide proof of insurance. Evergreen Park PD Case Nuno i	Short Term Suspension
@@Lockup Procedures@@ The complainant alleges that the accused officers failed to send his keys with his car to the impound lot and he is unable to get his car back The complainant alleges that the accused officers failed to send his keys with his car to the impound lot and he is unable to get his car back.	Reprimand
@@Use Of Force@@ On January 12th, 2013, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on-duty Chicago Police Officer that occurred on the same date in the 5th District. It was alleged that the accused Officer was inattentive to duty when he discharged his weapon without justification during the execution of a search warrant. During mediation, the accused Officer agreed to accept IPRAs finding of SUSTAINED for the allegation and a written reprimand.	Reprimand
@@Illegal Search@@ The reporting party alleged that the accused stopped him under false pretense that one of his headlights was out, at which time they ordered him to get out of his vehicle. The accused handcuffed him, searched him and his vehicle without justification	No Action Taken
@@Use Of Force@@ On April 9, 2009, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on April 9, 2009 in the 6th District, involving an on-duty Chicago Police Department (CPD) officer. It was alleged that the accused officer unintentionally discharged his firearm and was in possession of a firearm with which he had not qualified. Based on the statements from the accused officer and witness, and department records, IPRA recommended to SUSTAIN the allegation that the accused officer discharged his firearm without justification. IPRA recommended to SUSTAIN the allegation that the accused officer was in possession of a firearm, with which he had not qualified. IPRA recommended a five (5) day suspension for the accused officer.	Short Term Suspension
@@Operation/Personnel Violations@@ It is reported that the accused officer and other members failed to follow Department policices and procedures regarding vehicle pursuits. Related RC™	Reprimand
@@Lockup Procedures@@ On February 17th, 2011, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving two on-duty CPD Officers (Officers A and B) that occurred on February 17th, 2011 in the 25th District. It was alleged that the accused Officers A and B were inattentive to duty in that they failed to properly search Subject A which resulted in Subject A causing injury to self. During mediation, Officer A agreed to accept IPRAs finding of SUSTAINED for the allegations and a one (1) day suspension. During mediation, Officer B agreed to accept IPRAs finding of SUSTAINED for the allegations and a three (3) day suspension.	Short Term Suspension
@@Drug / Alcohol Abuse@@ Itis alleged that on 10 March 12 at 419 Broadway in Nashville, Tennessee the Accused was intoxicated while off duty. Itis alleged that on 10 March 12 at 419 Broadway, Nashville, Tennessee, the Accused was arrested for Public Intoxication by the Metropolitan Police Department of Nashville, Tennessee.	Short Term Suspension
@@Operation/Personnel Violations@@ offender that	No Action Taken
@@False Arrest@@ The complainant who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, at e was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant who is incarcerated, alleges that on 23 February 2011 at 1030 hours, at he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant | who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant | who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, at he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant | who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, af he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, at , he was falsely arrested the above named Department Member in retaliation for a case he has pending against the Chicago Police Department The complainant who is incarcerated, alleges that on 23 February 2011 at 1030 hours, at he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department. The complainant who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, at he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department The complainant , who is incarcerated, alleges thaton 23 February 2011 at 1030 hours, at ™ he was falsely arrested by the above named Department Member in retaliation for a case he has pending against the Chicago Police Department.	No Action Taken
@@Domestic@@ On March 27, 2009, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on March 27, 2009, involving one off-duty Chicago Police Department (CPD) Officer (Officer A) and two on-duty CPD Officers (Officer B and Officer C). It was alleged that Officer A verbally abused Sergeant Victim A, advanced toward Sergeant Victim A in a threatening manner and struck his hand, refused to obey the Sergeants direct order to open the door, engaged in a verbal altercation with Victim B via the telephone, and was intoxicated/under the influence of alcohol during the incident. It was also alleged that Officer B and Officer C failed to follow proper procedure, and took Officer As wallet and failed to secure/return it to him. Based on statements from the accused, the victim and witnesses, and police reports, IPRA recommended to SUSTAIN the allegations that Officer A verbally abused Sergeant Victim A, advanced toward him in a threatening manner and struck his hand, refused to obey the Sergeants direct order, engaged in a verbal altercation with Victim B via the telephone, and was intoxicated/under the influence of alcohol during the incident. IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer B and Officer C failed to follow proper procedure. IPRA recommended a finding of UNFOUNDED for the allegation that Officer B and Officer C took Officer As wallet and failed to secure/return it to him. IPRA recommended a thirty (30) day suspension for Officer A.	Long Term Suspension
@@False Arrest@@ The reporting party alleged that the accused restrained the victim and then falsely arrested tne vicum tor disorderly conduct  The reporting party alleged that the accused restrained the victim and then falsely arrested the victim for disorderly conduct.  The reporting party alleged that the accused restrained the victim and then falsely arrested the victim for disorderly conduct	No Action Taken
@@Operation/Personnel Violations@@ The reporting party alleges accused detectives and officers were standing outside his residence taunting the victim, attempting to coax him outside, made false allegations of reports of a Domestic Violence call and a call of a baby crying in their attempts to enter the residence without justification. It was alleged the accused were screaming at the victim, "Come out out of the house. You are:™ aren't you? Come on out of the house, we got something for you." It was stated the accused alleged that someone was "flipping gang signs" from the second floor window. It was further alleged the accused were at the residence on other occasions responding to false reports and making false allegations in an attempt to force the victim to move out of the neighborhood. The reporting party alleges accused detectives and officers were standing outside his residence taunting the victim, attempting to coax him outside, made false allegations of reports of a Domestic Violence call and a call of a baby crying in attempts to enter the residence without justification. It was alleged the accused were screaming at the victim, "Come out out of the house. You are ¢ t aren't you? Come on out of the house, we got something for you." It was stated the accused alleged that someone was "flipping gang signs" from the second floor window. It was further alleged the accused were at the the residence on other occasions responding to false reports and making false allegations in an attempt to force the victim to move out of the neighborhood	No Action Taken
@@Operation/Personnel Violations@@ The reporting party alleged that the accused officers failed to follow proper Department inventory procedures. Reference # CB# Inventory # 1	Violation Noted
@@Operation/Personnel Violations@@ It is reported that the accused officer and other members failed to follow Department policices and procedures regarding vehicle pursuits. Related RC™	Reprimand
@@Operation/Personnel Violations@@ An off-duty CPD Officer was alleged to have failed to report that he discharged his firearm, failed to immediately identify himself as a police officer, failed to submit a report regarding the discharge of his firearm, impeded the investigation when he falsely reported that he did not discharge his firearm, and failed to properly secure his firearm after it discharged and malfunctioned. It is also alleged that the Officer provided several counts of false statements, including telling the first responding officers that he had discharged his firearm, telling the sergeant that he did not discharge his firearm, stating he never spoke to an uniformed sergeant, informing every officer that he spoke with that he discharged his firearm, and stating that he made a timely notification of the discharge of his firearm to the Department. Finally, it is alleged that the Officer brought discredit upon the Department regarding the circumstances of the discharge of his weapon.	Resigned
@@Operation/Personnel Violations@@ On December 18th, 2012, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on-duty Chicago Police Officer that occurred on the same date in the 5th District. It was alleged that the accused Officer was inattentive to duty when she accidentally discharged her weapon while cleaning it. During mediation, the accused Officer agreed to accept IPRAs finding of SUSTAINED for the allegation and a written reprimand.	Reprimand
@@Lockup Procedures@@ The complainant states that once she was arrested, her vehicle was impounded. The complainant alleges that the accused officer ransacked her vehicle and possibly removed two rings from her vehicle. The complainant alleges that the accused officer failed to inventory or return her car keys.	No Action Taken
@@Operation/Personnel Violations@@ The complainant stated that he called the police because he was battered by a man named at the location of the incident. The complainant alleged that he called for police to file a report but the accused officers refused to generate a police report for him or take any police action against the offender, who was still on the scene.	No Action Taken
