"cr_id","summary"
"1057982","It is alleged by the victim that he was walking eastbound on 75th when two detectives in an unmarked car who had previously arrested him made a U-Turn and then exited their car towards him. Upon exiting, detained and handcuff him, never informing him why he was being searched Finally, his ID was thrown to the ground and he was released for no apparent reason"
"1058859","Itis alleged by the complainant, Lt. Gregory KLICHOWSKI, Star #386, Employee Unit 010, that on 06 December 2012 at 0700 hours, at_ the accused Police Officer, Star Employee Unit 013, was involved ina traffic crash and left the scene of that traffic crash."
"1059972","The complainant alleged that the accused Chicago: Police Officer William DOOLIN #14047 threatened to arrest him for possession of a controlled substance (two pills of 800 milligram ibuprofen) if he did not provide Officer DOOLIN with firearm. The complainant alleged that the accused Chicago Police Officer Gary ANDERSON #6369 threatened to arrest him for possession of a controlled substance (two pills of 800 milligram ibuprofen) if he did not provide Officer ANDERSON with firearm,"
"1060036","On February 9th, 2013, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an off-duty Chicago Police Detective that occurred on February 8th, 2013 in the 13th District. It was alleged that the accused Detective was inattentive to duty in that he accidentally discharged his weapon and failed to immediately notify the Office of Emergency Management and Communications (OEMC) and provide all relevant information regarding the weapons discharge. The Detective agreed through mediation to accept IPRAs finding of SUSTAINED and a written reprimand."
"1060997","The complainant alleges that the accused officer abused his powers by “running unauthorized and without cause background checks on individuals and then exposing that information to others."""" The complainant alleges that the accused officer abused his powers by “running unauthorized and without cause background checks on individuals and then exposing that information to others.”"
"1061192","‘The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial. The victim alleges that the accused officers withheld exculpatory evidence, fabricated false reports, provided false testimony and other evidence during his trial. The victim was falsely arrested for murder and subsequently released after a bench trial."
"1061906","The complainant alleged that the accused officer failed to return item listed on the inventory slip"
"1061958","The reporting party alleged that the accused harassed her, in that he stopped her for no apparent reason. The accused gave his. name as """"Sergeant Barn,"""" however he was wearing a “blue” shirt."
"1062132","The complainant alleged that the accused officer arrested the victim, without justification and impounded his vehicle."
"1062562","‘The reporting party stated that her vehicle was stolen, at which time she went to the 017th District to report the incident. The accused officer refused to file a stolen motor police report because the car was involved in a hit-run accident."
"1062812","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER STOPPED HIM AND SEARCHED HIS VEHICLE WITHOUT JUSTIFICATION. HE ALSO STATES THAT THE ACCUSED OFFICER WROTE HIM THREE TICKETS. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER STOPPED HIM AND SEARCHED HIS VEHICLE WITHOUT JUSTIFICATION. HE ALSO STATES THAT THE ACCUSED OFFICER WROTE HIM THREE TICKETS."
"1064624","The Reporting Party Victim, who has called 911 for police service multiple times to report a neighbor's dog was unleashed and on her porch, alleges she has not received a report relative to her call. The Reporting Party Victim further alleges that the officers who respond do not exit their vehicle(s)."
"1064636","The complainant alleges that the accused officer who arrested the subjec who was a passenger in her vehicle removed $1,500.00 U.S.C. which was not inventoried or retumed. The complainant alleges that the accused officer who arrested the subject ho was a passenger in ner venicie removed $1,500.00 U.S.C. which was not inventoried orretumed. The complainant further alleges that the accused officer threw her cellular phone out of the window of her vehicle."
"1065021","In an incident involving an on-duty CPD Officer, the Officer was alleged to have accidentally discharged his firearm, which resulted in the firearm discharging through the windshield of a squadrol."
"1065325","‘The reporting party alleged that the accused officers failed to arrest her neighbor, who had threatened her with bodily harm."
"1065427","The reporting party alleged that the accused officer took his cell phone and failed to inventory or return it."
"1065638","The reporting party alleges a black male and black female plainclothes officer, possibly named """"Mitchell"""", with possible star number """"12276"""" provided false information tegarding a burglary investigation and that they had a few questions to asked her. The reporting party further alleges that she inquired as to why the officers were arresting her and that they failed to answer her. DESCRIPTION OF BLACK FEMALE OFFICER CONTINUED: LONG DARK BROWN PONY TAIL, LATE 20'S-EARLY 30'S."
"1067003","The annonymous reporting party is alleging that ‘hasbeen riding around in Officer Roy ARIZA's squad car without authorization from the department and performing immoral activities"
"1067253","filed Civil Law Suit {EE on behalf. of Victim «ho alleges that on 25 April 2013, 1100 hours; at! |, Chicago Police Officer Adam SPENCER #6218, assigned to 211, falsely arreste: __ This is documented under Civil Law Suit filed Civil Law Suit __onbehalf of Victim who alleges that on 25 April 2013, 1100 hours; at| Chicago Police Officer John SMITH #12101, assigned to 211, falsely arrested This is documented under Civil Law Suit"
"1067455","The reporting party alleged that the accused officer is rude and unprofessional toward her and her coworker, Leenne It Is alleged that the accused officer is constantly invading their pnvate space and staring at their breasts and groin area"
"1067787","The reporting party/witness alleged that on 22 January 2014, the accused officer used his position as a police officer to obtain medical information about their mother to which he was not entitled. The witness further alleged that since 01 February 2014, the accused officer financially exploited their mother, who is “gravely ill"""" and is now being treated at Norwegian-American Hospital, by having her sign checks in his name and by taking photographs of her without her permission and posting the photographs on Facebook to solicit donations."
"1068893","The reporting party alleged that the accused officer pulled him out of his friend's vehicle, handcuffed him and placed him in the backseat of a marked SUV. It is alleged that the female officer threatened to taser him without justification. It is further alleged that the accused officers failed to inventory or return his keys."
"1073375","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS STOPPED HER WITHOUT JUSTIFICATION."
"1074179","The reporting party/victim alleged that the accused officer did not allow him to file an assault charge against a person who threatonad hins :psids """"Lang Industries,” at approximately 1300 nours."
"1075753","The complainant alleged that the accused officer failed to properly investigate a traffic accident that involved the victim and the two witnesses and failed to accurately record by proper name the witness who caused the accident or her vin number, phone number, or insurance information. The complainant alleged that the accused officer did not issue any citations regarding the traffic accident, and as a result of the accident all parties were hospitalized"
"1008366","On August 13, 2007, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents starting from August 2007 in the 2nd District involving an off-duty Chicago Police Department (CPD) Officer. It was alleged that the accused officer made harassing and threatening calls to complainant; violated an Emergency Order of Protection when she sent complainant two emails; violated an Emergency Order of Protection when she made phone calls to complainant; was insubordinate towards a superior; was verbally abusive towards a superior; attempted to physically confront a superior; was arrested on two counts of Violation of an Order of Protection; gave a false statement to IPRA during its investigation; and that the officers overall actions were contrary to the stated policy, goals, rules, regulations, orders and directives of the Department. Based upon statements by the accused officer, complainant and witnesses, phone records, court records and reports, IPRA recommended to SUSTAIN the allegations that the accused officer made harassing and threatening calls to complainant; was insubordinate towards a superior; was verbally abusive towards a superior; attempted to physically confront a superior; was arrested on two counts of Violation of an Order of Protection; gave a false statement to IPRA during its investigation; and that the officers overall actions were contrary to the stated policy, goals, rules, regulations, orders and directives of the Department. Further, based upon statements by the accused officer, complainant and witnesses, electronic correspondences, court records and reports, IPRA recommended a finding of UNFOUNDED for the allegation that the accused officer violated an Emergency Order of Protection when she sent complainant two emails. Based upon statements by the accused officer, complainant and witnesses, phone records, court records and reports, IPRA recommended a finding of NOT SUSTAINED for the allegation that the accused officer violated an Emergency Order of Protection when she made phone calls to complainant. IPRA recommended separation from the department for Officer A."
"1010898","On 14 November 2007, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident occurring in the 15th District, on November 14, 2007. It was alleged that an on-duty Chicago Police Department officer was inattentive to duty in that while holstering his weapon, the weapon discharged, and that he was wearing a holster that was not prescribed by the Department. Based on statements from the accused officer and witnesses, video, and reports, IPRA recommended to SUSTAIN the allegation that the accused officer was inattentive to duty in that while holstering his weapon, the weapon discharged. Further, based on the statements from the accused officer and witnesses, IPRA recommended to SUSTAIN the allegation that the accused officer was wearing a holster that was not prescribed by the Department. IPRA recommended a reprimand for the accused member."
"1027914","On July 3, 2009, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on July 3, 2009 in the 5th District involving an on-duty Chicago Police Department (CPD) Officer. It was alleged that the Officer verbally abused Complainants 1 through 5 during a traffic stop; improperly searched Complainants 1 through 5; conducted an improper search of the vehicle; and by his overall actions brought discredit on the department. Based on statements from the accused Officer, Complainants and witnesses, traffic and department records, IPRA recommended to NOT SUSTAIN the allegation that the accused Officer improperly searched Complainants 1 through 5. IPRA recommended to SUSTAIN the allegations that the accused Officer verbally abused Complainants 1 through 5 during a traffic stop; conducted an improper search of the vehicle; and by his overall actions brought discredit on the department. IPRA recommended a ten (10) day suspension for the accused Officer."
"1049595","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS STOPPED HIM WITHOUT JUSTIFICATION FIVE TIMES SINCE 15 SEPTEMBER 2011, THE LAST TIME WAS ON TODAY'S DATE. THE REPORTING PARTY ALLEGES THAT ON TODAY'S DATE DURING A TRAFFIC STOP ONE OF THE ACCUSED OFFICERS REMOVED $40.00 USC FROM HIS VEHICLE AND FAILED TO RETURN SAME. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS STOPPED HIM WITHOUT JUSTIFICATION FIVE TIMES SINCE 15 SEPTEMBER 2011, THE LAST TIME WAS ON TODAY'S DATE. THE REPORTING PARTY ALLEGES THAT ON TODAY'S DATE DURING A TRAFFIC STOP ONE OF THE ACCUSED OFFICERS REMOVED $40.00 USC FROM HIS VEHICLE AND FAILED TO RETURN SAME."
"1050573","THE REPORTING PARTY STATES THAT THE ACCUSED OFFICERS RESPONDED TO A DISPUTE OVER HER DOG. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS TOOK HER RARE DOG, A MINIATURE SCHINAUZER AND POODLE MIX, A """"SCHNOODLE"""" AND FAILED TO RETURN OR INVENTORY SAME. rReFerReNCE: RO+"
"1051252","The complainant alleges that she called 911 to make a complaint about the officers that responded to her home and the sergeant refused to register her complaint, instead giving her the telephone number for IPRA. The compalinant further alleges that after observing the damage in her apartment caused by her husband, the sergeant failed to complete a case report. The complainant alleges that the accused failed to provide police service in that after she called 911 following a domestic disturbance with her intoxicated hushand resulting in property damage, the accused did not enter the apartment and speak with her, instead remaining outside and speaking with her husband. The accused told the complainant to, """"shut the fuck up,"""" when she opened the window and asked the officers why they did not speak with her,and then told her to """"shut the motherfucking window."
"1051266","The complainant alleges that the accused failed to provide police service in that they refused to knock on the doors of the three homes that the six offenders whom had assaulted him with snow balls entered. The accused dismissed the attack and told the complainant to go home"
"1055466","The reporting party alleged that she called “911"""" to report that her neighbor had assaulted her, at which time the officers responded two hours after her initial call The accused was rude and unprofessional, in that he refused to listen to her side of the story. The accused asked her (reporting party) if she knew the definition of """"assault"""" and then told her to call them back when she figures it out. The accused refused to file an assault police report and failed to arrest the offender, who was still on the scene"
"1059084","On December 18th, 2012, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on-duty Chicago Police Officer that occurred on the same date in the 5th District. It was alleged that the accused Officer was inattentive to duty when she accidentally discharged her weapon while cleaning it. During mediation, the accused Officer agreed to accept IPRAs finding of SUSTAINED for the allegation and a written reprimand."
"1059570","The reporting party alleges that the accused officer is trying to deter her from following through on an nvestigation hat she filed in that, the accused sergeant stated to her, """"If this investigation does not result into criminal charges you are financially responsible for this Investigation with the city * The reporting party alleges that she telephoned different people through out the police department of higher authority including the superintendent's officer and she was informed that there i1s no such policy in place regarding the alleged statement by the accused sergeant The reporting party further alleges that the accused sergeant closed her case stating that she did not sign an affidavit when in fact, the accused sergeant did not provide her with such document The reporting party further alleges that when she telephoned the accused sergeant regarding the closing of her case, he informed her that she needs to start all over again and rerterated that she would be financially responsible for the investigation"
"1060135","observed an unknown arresting officer plant drugs and remove and estimate of $500.00 U.S.C., from her nephew's pocket."
"1061571","indebtedness to the City of Chicago for the amount of $1819.20."
"1061880","The complainant alleges that the accused officer failed to pay or returna handgun that he purchased from the complainant on an unknown date, time, of location."
"1063573","It is reported that the accused officer failed to comply with Special Order E01-07 regarding the indebtedness to the City of Chicago."
"1064395","and told him if you motherfucking brains It is further officer falsely"
"1067440","THE REPORTING PARTY, WHO DID NOT WITNESS THE INCIDENT STATES THAT THE ACCUSED OFFICER AND THE VICTIM WERE INVOLVED IN A TRAFFIC ACCIDENT. SHE ALLEGES THAT THE ACCUSED OFFICER STATED TO THE VICTIM, """"YOU MEXICANS ALWAYS. LEAVE THE SCENE OF A CRIME. 1 BET YOU DON'T HAVE CAR INSURANCE OR DRIVER'S LICENSE BECAUSE YOU PEOPLE NEVER HAVE IT."
"1067912","the incorrect prisoner em was bonded out of lock-up. It is further reported that the arrestee signed another prisoner's name {EEO n the bond slip."
"1079817","While off-duty, Officer C was heavily intoxicated. He threatened Officer A with assault and was brought to the station, where he refused a direct order to comply with a breathalyzer test."
"1081684","On July 28, 2016,_was arrested for Possession of a Controlled Substance and issued a citation for Failure to Step. It was later learned that Mr. had an Active Investigative Alert for Domestic Battery, which he was consequently charged with. There is signi?cant dispute between Mr- and the arresting of?cers? description of how their interaction began. In their police reports and statements to COPA, the of?cers report that the began as a traf?c stOp that Mr. ?ed from, ?rst via vehicle and then on foot. Mr dmitted that he ?ed on foot from olice including jumping several fences/ gates during his attempt to avoid capture. However, MriJ?ienied that the encounter befan as a traf?c stop, but instead began when of?cers observed him in a backyard. Of?cer re ortedl observed Mr.-hrow a clear white ba ie from his uspect cocaineWenied that he had any drugs. Both Mn?and Of?cer agree that Mr. was apprehended while hiding in bushes. Mr-lleges that he was inl'ured during his arrest when Of?cer - tripped and caused him to fall to the ground. Of?cer denied the allegation and further denied that he used any force when he arrested Mr. . Likewise, Mr._reported that he was denied his request for medical treatment numerous times, but both arresting of?cers denied hearing him request medical treatment. COPA reviewed ?all relevant reports including arrest, case, supplementary, inventory, event, Evidence Technician hotos and In~Car Camera footage and obtained statements from both Of?cers - and-p The District was not assigned Body Worn Cameras at the time of this incident."
"1088501","On February 15, 3018, Police Of?cer?s and allegedly conducted a traffic stop on for no reason. It was further alleged that PO called Mr. - a ?cocksucker,? and threw his ID card at him."
"1033714","Complainant and Civilian 1 were involved in a physical altercation outside of Restaurant A. A woman claimed that the assailants were Chicago police officers. Officers A, B, and C responded to the scene. They did not search for witnesses, did not properly document the encounter, and did not render aid."
"1044302","On March 27, 2011, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on March 27, 2011 in the 11th District involving an on-duty Chicago Police Department (CPD) Officer. It was alleged that the accused officer was inattentive to duty in that he accidentally discharged his weapon. Based on a mediation, the accused officer agreed to accept IPRAs finding of SUSTAINED and a written reprimand."
"1048979","The complainant alleges that the accused approached him and placed him under arrest for no reason. The accused used profanity and referred to the complainant as a """"motherfucker.” and he called him an"
"1049378","RD#HT 547193 IT IS REPORTED THAT THE ACCUSED OFFICER FAILED TO SECURE HIS WEAPON IN A SECURE LOCATION."
"1049565","The reporting party alleges that the accused officer was “rude” and “impatient"""". It is further alleged that the accused officer failed to respond to the scene in a timely manner. The accused officer arrived three hours after the traffic accident. It is alleged that the accused officer has the time incorrect on the traffic crash report. Related RD #"
"1049659","The complainant Sergeant Lunye' WILLIAMS, #2416, 006th District, alleged that on 29 October 2011, at 7808 S. Halsted (006th District police station), at 0950 hours, PO Maria MOORE, #1238, 001st District, did not display a city sticker on her personal vehicle. The complainant Sergeant Lunye' WILLIAMS, #2416, 006th District, alleged that on 29 October 2011, at 7808 S. Halsted (006th District police station), at 0950 hours, PO Maria MOORE, #12388, 001st District, was rude and professional after she complained that a police officer """"incorrectly"""" wrote citations on her personal vehicle. The complainant Sergeant LunyeWILLIAMS, #2416, 006th District, alleged that on 29 October 2011, at 7808 S. Halsted (006th District police station), at 0950 hours, PO Maria MOORE, #1238, 001st District, failed to identify herself as a Department member or show your Department |.D. card upon request."
"1049734","The victim alleges that her front door was knocked down without an announcement by police personnel. The victim also states that guns were pointed at her and her minor child thoughout the illegal search and destruction of her home."
"1051599","The reporting party alleges that the accused officers picked up two unknown drunk women for """"personal reasons"
"1053624","THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS STOPPED HIM AND SEARCHED HIM AND THE VICTIM WITHOUT JUSTIFICATION. HE ALSO ALLEGES THAT THE ACCUSED OFFICERS SEARCHED HIS VEHICLE WITHOUT HIS PERMISSION"
"1054569","The complainant, David PROTESS, is alleging that Police Officer Martin PREIB, Star 19156, Unit 116, is misusing his police powers to harass and intimidate him."
"1054738","The complainant alleges that her son, and a black male subject engaged in an altercation and the accused officers failed to arrest the offender who remained on the scene."
"1054922","The complainant alleged that the accused officers arrested the victim without justification when she recorded the arrest of another subject on her cellular telephone The complainant stated that the victim refused to give her telephone to the officers when they requested her to do so."
"1057728","‘The reporting party alleged that he was falsely arrested for possession of controlled substance."
"1058314","The reporting party alleged that her cousin witnessed an officer shoot a dog on her property. Afterwards the accused failed to inform her of the incident and left the dead dog underneath the porch. NOTE: Per Supervisor Roberts, the allegations are warranted for IAD investigation"
"1058930","It is reported that the accused officers were dispatched to a call of a battery at the said location. Upon arrival to the scene the accused officers were unable to locate the battery victim. The officers were inattentive to duty in that they """"coded the job out,” but failed to generate a report. It is reported that the accused officers were dispatched to a call of a battery at the said location. Upon arrival to the scene the accused officers were unable to locate the battery victim. The officers were inattentive to duty in that they """"coded the job out,"""" but failed to generate a report."
"1059730","The reporting party alleged that the accused officers failed to respond to his 911 call to report someone who threatened him in person and with a sign that threatened to “burn him out"""" of his residence."
"1060097","The Reporting Third Party, who DID NOT WITNESS the incident alleged that on 12 February 2013 at approximately 1515 hours, near the location of known Chicago Police Officers thre’ keys across the parking lot and arrested him without justification."
"1060935","called the police about being harrassed and assaulted by port recorded und Subsequent to filing the report threw a brick through his window] salled the police three times to report the incident, but no Department Member responded to his request for assistance. It is alleged that the accused ntually came to lesidence and threatened to have| ‘arrested if he called the police again, but did not take any action about his latter complaint about Tiffany. also alleged that the officers did not arrest} ifter the initial assault which left him with bruises on his arms."
"1061031","The reporting party stated that he was involved in a verbal altercation and assaulted by the new owners of the property. The accused responded to the scene, failed to provide a case report and refused to listen to his side of the story. The accused ordered him to give the new owners his keys to the building. The reporting party stated that he was involved in a verbal altercation and assaulted by the new owners of the property. The accused responded to the scene, failed to provide a case report and refused to listen to his side of the story. The accused ordered him to give the new owners his keys to the building."
"1062233","THE REPORTING PARTIES ALLEGE THAT THE ACCUSED OFFICERS KICKED IN THEIR DOORS AND SEARCHED THEIR RESIDENCES WITHOUT JUSTIFICATION. THE REPORTING PARTY, “LLEGES THAT THE ACCUSED OFFICERS ARRESTED THE VICTIM WITHOUT JUSTIFICATION."
"1062589","THE REPORTING PARTY WHO DID NOT WITNESS THE INCIDENTS, ALLEGES THAT THE ACCUSED OFFICER ARRESTED THE VICTIM TWICE WITHOUT JUSTIFICATION."
"1062761","It is alleged that the accused stopped ind his friend * (nfi) as they were coming out of the grocery store without justification. It is further alleged that the accused was rude and disrespectful when he threw. — wallet and ID on the ground and harassed him when he stated that he could arrest ‘or “terrorism” if he did not   leave."
"1063688","The complainant alleges that the accused officer pointed a weapon in his face after he was issued a traffic citation. The accused verbally abused the complainant when he said, """"How is your fucking driving record?"""" and """"Back the fuck away from me you motherfucker."
"1067761","The complainant, WHO DID NOT WITNESS THE INCIDENT, alleged that her son was stopped, arrested and her vehicle was impounded (which he was driving). The complainant alleged that one of the arresting officers took her cellular phone which her son was using and failed to return or inventory."
"1068220","‘The reporting party alleges that she called 911 to report being illegally evicted from her apartment The reporting party alleges that the accused officers illegally evicted her from her apartment at the location mentioned above The reporting party alleges that accused officer #1 stated in an aggressive tone, “Show us the paper work, these are not the right papers from court, you need to leave, if you go upstairs you're going to be arrested "
"1074521","The reporting party/victim alleged that on both dates, the accused officers harassed him by entering the store where he works, telling him he was trespassing, searching and handcuffing him and running his name on the computer. The victim alleged that Officer #1 harassed him because the victim's sister, """" recently filed a complain. ayanst nim."
"1074686","In an incident involving two on-duty CPD Officers (A and B) and the Complainant, it was alleged that Officer A directed profanity at the Complainant, pushed and handcuffed the Complainant too tight. It was also alleged that Officer B failed to register a complaint upon the Complainants request."
"1085499","On June 7th, 2017, Chicago police officers conducted a traffic stop involving the complainant Subject 1 and subsequently took him into custody. Subject 1 alleges that he was detained without justification, and his arresting officer handcuffed him too which resulted in bruising to his wrists and right arm."
"1002203","On December 23, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding an incident occurring in the 14th District, on December 23, 2006, involving twenty Chicago Police Department (CPD) officers (Officers A through T). It was alleged that off-duty Officer A, engaged in an unjustified physical altercation with his girlfriend; engaged in an unjustified verbal altercation with his girlfriend; struck the complainant on the head and face with his gun; pointed his gun at the complainant; engaged in an unjustified physical altercation with the complainant; directed profanities at the complainant; threatened to shoot the complainant; was intoxicated; failed to maintain control of his weapon; failed to report the incident to a supervisor and/or the Department; provided a false report to IPRA; and brought discredit upon the Department. In addition, it was alleged that on-duty Officers B and C both failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property received from the complainant; submitted a false report; failed to generate a case report; and made false reports to IPRA. It is also alleged that on-duty Officers D through Q failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; and failed to return or inventory property received from the complainant. It is further alleged that Officer P submitted a false report; and failed to generate a case report. It is further alleged that on-duty Officers R and S both failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property received from the complainant; and provided false reports to IPRA. In addition, it is alleged that off-duty Officer T had knowledge of police misconduct and failed to report it. Based on statements from the accused officers, reports, photographs, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A engaged in a verbal altercation with his girlfriend; and directed profanities at the complainant. Further, IPRA recommended to SUSTAIN the allegations that Officer A engaged in an unjustified physical altercation with his girlfriend; struck the complainant on the head and face with his gun; pointed his weapon at complainant; engaged in an unjustified physical altercation with the complainant; threatened to shoot the complainant; was intoxicated; failed to maintain control of his weapon; failed to report the incident to a supervisor and/or the Department; provided a false statement to IPRA; and brought discredit upon the Department. Further, IPRA recommended to SUSTAIN the allegations that Officer B failed to take proper police action; failed to notify a supervisor; knew of police misconduct and failed to report it; failed to inventory evidence recovered from the complainant; submitted a false report; failed to generate a case report; and provided a false report to IPRA. Further, IPRA recommended to SUSTAIN the allegations that Officer C failed to take proper police action; failed to notify a supervisor; knew of police misconduct and failed to report it; failed to inventory evidence recovered from the complainant; submitted a false report; failed to generate a case report; and provided a false report to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, E, F, G, H, I, J, K, L, M, N, P, Q, and S failed to take proper police action; and had knowledge of misconduct and failed to report it. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, E, F, G, H, I, J, K, L, M, N, P, Q, and R failed to notify a supervisor. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, F, G, H, I, J, K, L, N, P, Q, and S failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officers E and M failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officer P filed a false report; and failed to generate a case report. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer S provided a false statement to IPRA. Further, IPRA recommended to SUSTAIN the allegations that Officer R failed to provide proper police service; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property obtained from the complainant; and provided a false statement to IPRA. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officer O failed to take proper police action; failed to notify a supervisor; had knowledge of police conduct and failed to report it; and failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer T had knowledge of police misconduct and failed to report it. IPRA recommended separation from the Department for Officer A, a sixty (60) day suspension for Officer B, a sixty (60) day suspension for Officer C, and a twenty (20) day suspension for Officer R."
